ticker,last_close,last_change_pct,last_change,last_volume(M),last_date,fiftytwo_week_high,fiftytwo_week_low,sma_21,sma_50,sma_200,rsi,atr,atr%,up_3_days,down_3_days,max_value_latest_week,max_date_latest_week,min_value_latest_week,min_date_latest_week,pct_change_latest_week,max_value_latest_month,max_date_latest_month,min_value_latest_month,min_date_latest_month,pct_change_latest_month,max_value_latest_year,max_date_latest_year,min_value_latest_year,min_date_latest_year,pct_change_latest_year,max_value_all_time,max_date_all_time,min_value_all_time,min_date_all_time,pct_change_all_time
A,138.14,2.81,3.77,2.27,2024-11-27,154.64,125.42,133.62,137.72,138.55,57.88,3.76,2.72,0,0,138.14,2024-11-27,134.37,2024-11-26,2.71,140.41,2024-11-05,125.69,2024-11-19,0.93,154.64,2024-05-20,125.42,2024-07-09,-0.44,179.28,2021-09-03,7.76,2002-10-10,338.91
AAPL,234.93,-0.06,-0.13,32.17,2024-11-27,236.48,165.0,227.38,228.72,205.56,62.94,3.68,1.57,0,0,235.06,2024-11-26,232.87,2024-11-25,0.88,235.06,2024-11-26,222.01,2024-11-04,5.39,236.48,2024-10-21,165.0,2024-04-19,26.55,236.48,2024-10-21,0.05,1982-07-08,182941.42
ABBV,183.08,1.07,1.94,4.08,2024-11-27,203.87,138.5,183.49,188.64,178.97,51.51,4.61,2.52,1,0,183.08,2024-11-27,177.06,2024-11-25,3.4,203.55,2024-11-01,164.99,2024-11-15,-10.06,203.87,2024-10-31,154.79,2024-05-29,14.55,203.87,2024-10-31,33.71,2013-01-08,421.3
ABNB,138.28,-1.0,-1.39,2.65,2024-11-27,168.18,113.01,136.39,133.86,142.71,54.52,3.9,2.82,0,0,140.93,2024-11-25,138.28,2024-11-27,-1.88,147.37,2024-11-07,131.44,2024-11-19,1.33,168.18,2024-03-21,113.01,2024-08-07,2.83,216.84,2021-02-11,82.49,2022-12-28,-4.44
ABT,118.95,0.84,0.99,3.25,2024-11-27,120.96,100.07,116.71,115.66,110.93,59.98,2.06,1.73,0,0,118.95,2024-11-27,117.96,2024-11-26,0.69,118.95,2024-11-27,115.03,2024-11-14,0.3,120.96,2024-03-08,100.07,2024-07-18,8.28,141.46,2021-12-27,0.49,1980-03-25,23618.56
ACGL,100.74,0.33,0.33,0.95,2024-11-27,114.86,73.42,99.39,105.87,99.64,48.21,2.35,2.34,1,0,100.74,2024-11-27,100.06,2024-11-25,0.68,101.85,2024-11-08,95.0,2024-11-04,4.92,114.86,2024-10-04,75.55,2024-01-02,33.34,114.86,2024-10-04,1.26,1999-12-14,4166.64
ACN,362.16,-0.28,-1.02,1.66,2024-11-27,386.91,281.76,355.84,357.61,334.58,54.05,6.59,1.82,0,0,363.18,2024-11-26,361.29,2024-11-25,0.24,370.22,2024-11-13,343.9,2024-11-04,4.77,386.91,2024-03-07,281.76,2024-06-03,4.39,415.42,2021-12-29,11.85,2001-09-27,2287.34
ADBE,513.68,-2.21,-11.62,2.3,2024-11-27,634.76,439.02,504.06,503.39,517.24,53.65,12.87,2.51,0,0,525.3,2024-11-26,513.68,2024-11-27,-0.97,532.5,2024-11-13,481.35,2024-11-04,6.4,634.76,2024-02-02,439.02,2024-06-03,-11.45,688.37,2021-11-19,0.21,1986-08-28,243421.78
ADI,217.17,-0.86,-1.88,2.68,2024-11-27,243.33,180.57,218.63,224.66,216.16,47.23,6.39,2.94,0,0,223.58,2024-11-25,217.17,2024-11-27,-2.87,227.77,2024-11-07,206.35,2024-11-15,-3.69,243.33,2024-07-16,183.36,2024-04-19,12.19,243.33,2024-07-16,0.6,1980-03-27,29731.04
ADM,54.37,1.21,0.65,2.09,2024-11-27,76.42,51.38,53.27,56.19,59.23,51.21,1.2,2.21,0,0,54.37,2024-11-27,53.01,2024-11-25,2.57,55.3,2024-11-04,51.43,2024-11-12,-0.49,73.13,2024-01-03,51.38,2024-01-25,-25.27,98.22,2022-04-20,1.38,1982-07-07,2841.27
ADP,306.92,-0.34,-1.05,1.12,2024-11-27,307.97,228.99,300.53,291.26,261.23,65.1,4.22,1.38,0,0,307.97,2024-11-26,304.67,2024-11-25,0.74,307.97,2024-11-26,288.18,2024-11-01,6.5,307.97,2024-11-26,232.51,2024-01-03,31.49,307.97,2024-11-26,0.81,1980-03-27,37427.8
ADSK,290.64,-8.59,-27.32,3.43,2024-11-27,321.27,199.93,303.54,289.03,252.75,42.8,8.09,2.78,0,1,319.39,2024-11-25,290.64,2024-11-27,-9.0,321.27,2024-11-22,286.57,2024-11-01,1.42,321.27,2024-11-22,199.93,2024-05-30,24.14,342.27,2021-08-25,0.5,1985-06-28,58028.0
AEE,94.98,0.75,0.71,1.05,2024-11-27,94.98,67.92,90.56,88.57,78.37,69.01,1.52,1.6,0,0,94.98,2024-11-27,93.53,2024-11-25,1.55,94.98,2024-11-27,85.88,2024-11-01,10.6,94.98,2024-11-27,67.92,2024-02-08,28.35,98.51,2022-04-20,19.76,2009-03-09,121.85
AEP,99.89,0.56,0.56,1.49,2024-11-27,104.95,75.94,96.91,98.81,92.28,59.31,1.59,1.59,1,0,99.89,2024-11-27,98.1,2024-11-25,1.82,100.4,2024-11-05,92.96,2024-11-12,2.71,104.95,2024-09-16,75.94,2024-02-08,20.09,105.18,2022-09-12,13.62,1974-12-23,191.12
AES,12.99,3.26,0.41,15.19,2024-11-27,21.77,12.58,14.03,16.47,17.47,31.74,0.57,4.39,0,0,13.16,2024-11-25,12.58,2024-11-26,-1.29,15.51,2024-11-05,12.58,2024-11-26,-11.69,21.77,2024-05-30,12.58,2024-11-26,-32.83,70.62,2000-10-02,0.95,2002-10-16,296.44
AFL,114.1,0.07,0.08,1.21,2024-11-27,115.26,76.2,109.78,110.98,95.7,62.94,1.79,1.57,1,0,114.1,2024-11-27,113.2,2024-11-25,0.8,114.1,2024-11-27,104.51,2024-11-04,8.97,115.26,2024-10-04,76.2,2024-02-01,37.01,115.26,2024-10-04,0.09,1981-08-31,95023.76
AIG,77.14,1.1,0.84,2.46,2024-11-27,80.54,64.83,75.95,75.69,75.37,56.86,1.45,1.88,0,0,77.14,2024-11-27,75.95,2024-11-25,1.57,77.14,2024-11-27,74.66,2024-11-20,1.88,80.54,2024-05-17,66.75,2024-01-17,12.06,2073.75,2000-12-08,7.0,2009-03-05,212.26
AIZ,227.05,-0.71,-1.63,0.49,2024-11-27,228.68,161.28,211.96,202.15,183.41,76.9,3.92,1.73,0,0,228.68,2024-11-26,227.05,2024-11-27,-0.17,228.68,2024-11-26,191.19,2024-11-04,18.4,228.68,2024-11-26,161.28,2024-07-05,33.67,228.68,2024-11-26,12.77,2008-11-20,819.23
AJG,315.16,0.7,2.2,1.38,2024-11-27,315.16,220.11,294.56,289.51,267.92,76.33,5.36,1.7,1,0,315.16,2024-11-27,306.39,2024-11-25,2.86,315.16,2024-11-27,280.4,2024-11-01,12.4,315.16,2024-11-27,225.0,2024-01-02,40.07,315.16,2024-11-27,1.72,1984-06-26,16993.42
AKAM,93.86,0.82,0.76,1.18,2024-11-27,128.32,85.96,94.07,98.84,99.28,47.85,2.43,2.59,0,0,94.64,2024-11-25,93.1,2024-11-26,-0.82,104.71,2024-11-06,85.96,2024-11-18,-6.67,128.32,2024-02-09,85.96,2024-11-18,-19.7,327.62,1999-12-31,0.67,2002-10-07,-35.35
ALB,107.98,1.11,1.19,0.89,2024-11-27,152.39,72.85,103.59,99.0,106.09,57.19,4.65,4.31,0,0,109.98,2024-11-25,106.79,2024-11-26,-1.82,110.49,2024-11-11,96.58,2024-11-06,9.91,146.89,2024-01-02,72.85,2024-08-14,-26.49,325.38,2022-11-11,6.19,1995-03-27,1389.38
ALGN,229.66,0.76,1.73,0.52,2024-11-27,330.25,204.03,221.34,227.38,258.51,53.92,8.8,3.83,0,0,240.52,2024-11-25,227.93,2024-11-26,-4.52,240.52,2024-11-25,208.58,2024-11-01,10.11,330.25,2024-04-09,204.03,2024-08-07,-14.6,729.92,2021-09-08,1.3,2002-11-13,1260.95
ALL,208.2,0.16,0.33,1.43,2024-11-27,208.2,135.4,195.65,192.35,174.84,69.68,4.08,1.96,0,0,208.2,2024-11-27,202.03,2024-11-25,3.05,208.2,2024-11-27,182.37,2024-11-04,13.06,208.2,2024-11-27,143.81,2024-01-02,44.77,208.2,2024-11-27,11.44,1994-04-21,1317.53
