ticker,last_close,last_change_pct,last_change,last_volume(M),last_date,level_0,Adj Close,snp500,nasdaq100,dow30,ipo,index,sma_5,max_value_latest_week,max_date_latest_week,min_value_latest_week,min_date_latest_week,pct_change_latest_week,max_value_latest_month,max_date_latest_month,min_value_latest_month,min_date_latest_month,pct_change_latest_month,max_value_latest_year,max_date_latest_year,min_value_latest_year,min_date_latest_year,pct_change_latest_year,max_value_all_time,max_date_all_time,min_value_all_time,min_date_all_time,pct_change_all_time,fiftytwo_week_high,fiftytwo_week_low,sma_10,sma_21,sma_50,sma_200,rsi,atr,atr%,gap,up_3_days,down_3_days
DXCM,72.86,-1.43,-1.06,5.25,2026-01-23,250,,True,True,False,False,False,71.83,73.92,2026-01-22,70.73,2026-01-20,3.01,73.92,2026-01-22,66.54,2026-01-02,9.5,73.92,2026-01-22,66.54,2026-01-02,9.5,162.82,2021-11-17,0.35,2008-11-20,2382.45,90.75,54.84,70.67,69.15,65.82,73.96,68.24,2.86,3.93,-0.87,False,False
EA,204.0,-0.19,-0.38,1.64,2026-01-23,250,,True,True,False,False,False,204.16,204.38,2026-01-22,204.0,2026-01-20,0.0,204.5,2026-01-07,204.0,2026-01-20,-0.2,204.5,2026-01-07,204.0,2026-01-20,-0.2,204.79,2025-12-26,0.39,1990-10-11,40591.02,204.79,115.97,204.18,204.3,203.3,174.94,40.97,0.35,0.17,-0.15,False,False
EXC,44.06,-1.21,-0.54,8.94,2026-01-23,250,,True,True,False,False,False,44.67,45.0,2026-01-21,44.06,2026-01-23,-1.98,45.0,2026-01-21,42.9,2026-01-12,0.32,45.0,2026-01-21,42.9,2026-01-12,0.32,47.82,2025-10-20,0.13,1974-09-18,17550.68,47.82,38.0,44.06,43.81,44.43,44.11,51.25,0.81,1.83,-0.36,False,False
FANG,154.02,1.43,2.17,1.23,2026-01-23,250,,True,True,False,False,False,151.77,154.02,2026-01-23,148.7,2026-01-20,3.58,154.02,2026-01-23,140.45,2026-01-07,1.1,154.02,2026-01-23,140.45,2026-01-07,1.1,201.67,2024-07-17,12.23,2020-03-18,1038.15,168.48,116.78,150.96,149.19,150.64,142.06,52.14,5.47,3.55,1.76,False,False
FAST,43.89,-1.99,-0.89,8.12,2026-01-23,250,,True,True,False,False,False,43.93,44.78,2026-01-22,42.62,2026-01-20,2.98,44.78,2026-01-22,40.44,2026-01-02,8.53,44.78,2026-01-22,40.44,2026-01-02,8.53,50.13,2025-08-22,0.02,1987-10-27,229725.1,50.13,35.06,43.17,42.13,41.42,43.15,67.44,1.32,3.01,-0.04,False,False
FER,67.04,-0.55,-0.37,2.18,2026-01-23,250,,False,True,False,False,False,67.21,67.41,2026-01-22,66.35,2026-01-20,1.04,68.21,2026-01-16,64.55,2026-01-02,3.86,68.21,2026-01-16,64.55,2026-01-02,3.86,68.21,2026-01-16,8.52,2012-08-13,686.55,68.21,39.96,67.23,66.5,65.76,56.59,62.46,1.28,1.91,-0.81,False,False
FTNT,81.64,5.18,4.02,10.96,2026-01-23,250,,True,True,False,False,False,77.17,81.64,2026-01-23,75.46,2026-01-20,8.19,81.64,2026-01-23,75.38,2026-01-16,4.83,81.64,2026-01-23,75.38,2026-01-16,4.83,114.57,2025-02-19,1.5,2010-06-08,4812.15,114.57,74.39,77.48,78.62,80.39,89.92,62.22,2.29,2.8,5.88,True,False
GEHC,79.77,-2.59,-2.12,2.34,2026-01-23,250,,True,True,False,False,False,80.67,81.89,2026-01-22,78.83,2026-01-20,1.19,88.12,2026-01-08,78.83,2026-01-20,-3.64,88.12,2026-01-08,78.83,2026-01-20,-3.64,93.61,2024-09-30,55.73,2023-01-03,33.6,93.31,58.64,83.01,83.67,81.32,74.85,43.38,2.7,3.39,-0.63,False,False
GILD,135.93,3.65,4.79,13.18,2026-01-23,250,,True,True,False,False,False,129.05,135.93,2026-01-23,124.14,2026-01-20,9.5,135.93,2026-01-23,118.3,2026-01-05,11.78,135.93,2026-01-23,118.3,2026-01-05,11.78,135.93,2026-01-23,0.15,1994-06-06,30817.94,135.93,90.54,125.6,124.22,123.51,113.6,69.3,4.23,3.11,0.12,True,False
GOOG,328.43,-0.73,-2.41,19.1,2026-01-23,250,,True,True,False,False,False,328.03,330.84,2026-01-22,322.16,2026-01-20,1.95,336.43,2026-01-13,314.55,2026-01-06,4.16,336.43,2026-01-13,314.55,2026-01-06,4.16,336.43,2026-01-13,2.47,2004-09-03,13140.32,336.43,146.18,330.79,323.46,313.37,230.6,62.6,7.99,2.43,1.81,False,False
